MOBILE SAFETY CAMERA LOCATION DESCRIPTION REPORT,,,
LOCATION,SUBURB,Reason Code,Audit Date
Edward Road,CHIRNSIDE PARK,ABC,Jul-2024
Elevation Boulevard,CRAIGIEBURN,ABC,Apr-2025
Elizabeth Street,COBURG,ABC,Feb-2025
Ellscott Boulevard,MICKLEHAM,ABC,Apr-2025
Eureka Street,BALLARAT EAST,ABC,Aug-2024
Euroa-Mansfield Road,EUROA,ABC,T
Euroa-Mansfield Road,GOORAM,ABC,T
Federation Way,BOWSER,ABC,Apr-2025
Frankston-Flinders Road,BITTERN,ABC,Sep-2024
Frawley Road,HALLAM,ABC,Nov-2024
Gap Road,SUNBURY,ABC,Apr-2025
Garden Road,CLAYTON,ABC,May-2025
Geelong-Ballan Road,BALLAN,ABC,Mar-2025
Geelong-Ballan Road,BEREMBOKE,ABC,Mar-2025
Geelong-Ballan Road,MOUNT WALLACE,ABC,Mar-2025
Gisborne-Melton Road,TOOLERN VALE,ABC,May-2025
Glenelg Highway,DUNKELD,ABC,Apr-2025
Glenfern Road,UPWEY,ABC,Mar-2025
Glenrowan-Myrtleford Road,WHOROULY,ABC,Apr-2025
Grand Boulevard,CRAIGIEBURN,ABC,Apr-2025
Grange Road,TOORAK,ABC,Mar-2025
Graydens Road,HASTINGS,ABC,Sep-2024
Great Alpine Road,SMOKO,ABC,Apr-2025
Great Alpine Road,BOWMANS FOREST,ABC,Apr-2025
Great Alpine Road,EUROBIN,ABC,Apr-2025
Great Ocean Road,LORNE,ABC,Aug-2024
Hall Road,CARRUM DOWNS,ABC,Sep-2024
Hamilton Highway,CRESSY,ABC,Aug-2024
Healesville-Koo Wee Rup Road,HEALESVILLE,ABC,Jul-2024
Healesville-Koo Wee Rup Road,YELLINGBO,ABC,Jul-2024
Healesville-Koo Wee Rup Road,WOORI YALLOCK,ABC,Jan-2025
Hendy Main Road,MORIAC,ABC,Aug-2024
Henty Highway,BRANXHOLME,ABC,Apr-2025
Henty Highway,HAMILTON,ABC,Apr-2025
Highlander Drive,CRAIGIEBURN,ABC,Apr-2025
Highlands Road,SEYMOUR,ABC,Apr-2025
Hughes Parade,RESERVOIR,ABC,Feb-2025
Hume Freeway,TALLAROOK,ABC,Apr-2025
Hume Freeway,BORALMA,ABC,Apr-2025
Hume Freeway,BOWSER,ABC,Apr-2025
Hyland Highway,TRARALGON,ABC,T
Hyland Highway,FLYNNS CREEK UPPER,ABC,May-2025
Jasper Road,BENTLEIGH,ABC,T
Jeeralang North Road,HAZELWOOD NORTH,ABC,T
Jukes Road,FAWKNER,ABC,Apr-2025
Karingal Drive,FRANKSTON,ABC,Sep-2024
Kensington Road,KENSINGTON,ABC,Apr-2025
Kerferd Road,ALBERT PARK,ABC,Feb-2025
Kiewa Valley Highway,KIEWA,ABC,Apr-2025
Kobyboyn Road,SEYMOUR,ABC,Apr-2025
Kulkyne Way,KARADOC,ABC,Apr-2025
Lake Tyers Beach Road,LAKE TYERS,ABC,Nov-2024
Lancefield Road,SUNBURY,ABC,Aug-2024
Leakes Road,PLUMPTON,ABC,May-2025
Longford-Loch Sport Road,LONGFORD,ABC,May-2025
Lower Plenty Road,YALLAMBIE,ABC,Feb-2025
Lyrebird Drive,CARRUM DOWNS,ABC,Sep-2024
Macaulay Road,NORTH MELBOURNE,ABC,Apr-2025
Maffra-Rosedale Road,NAMBROK,ABC,May-2025
Main Neerim Road,NEERIM SOUTH,ABC,Dec-2024
Major Road,FAWKNER,ABC,Apr-2025
Malcolm Street,MANSFIELD,ABC,Oct-2024
Mansfield-Whitfield Road,TOLMIE,ABC,Oct-2024
Marathon Boulevard,CRAIGIEBURN,ABC,Apr-2025
Maroondah Highway,HEALESVILLE,ABC,Jul-2024
Maroondah Highway,MERTON,ABC,Oct-2024
McClelland Drive,LANGWARRIN,ABC,Sep-2024
McCormicks Road,SKYE,ABC,Aug-2024
McCormicks Road,CARRUM DOWNS,ABC,Sep-2024
Melba Highway,YARRA GLEN,ABC,Jul-2024
Mickleham Road,TULLAMARINE,ABC,Apr-2025
Mickleham Road,GREENVALE,ABC,Apr-2025
Midland Highway,ELAINE,ABC,Mar-2025
Midland Link Highway,MAINDAMPLE,ABC,Oct-2024
Monaro Highway,NOORINBEE,ABC,May-2025
Monash Road,NEWBOROUGH,ABC,T
Monash Street,SUNSHINE,ABC,May-2025
Monash Way,CHURCHILL,ABC,T
Monbulk Road,SILVAN,ABC,Jul-2024
Moore Street,MOE,ABC,T
Mornington Peninsula Freeway,ROSEBUD,ABC,Sep-2024
Mount Buller Road,MERRIJIG,ABC,Oct-2024
Mount Buller Road,SAWMILL SETTLEMENT,ABC,Oct-2024
Mount Dandenong Road,CROYDON,ABC,T
Mount Dandenong Tourist Road,MONTROSE,ABC,Jun-2025
Mt Alexander Road,ESSENDON,ABC,Apr-2025
Mt Ridley Road,MICKLEHAM,ABC,Apr-2025
Murray Valley Highway,BARNAWARTHA NORTH,ABC,Apr-2025
Murray Valley Highway,BROWNS PLAINS,ABC,Apr-2025
Murray Valley Highway,COBRAM EAST,ABC,Apr-2025
Murray Valley Highway,STRATHMERTON,ABC,Apr-2025
Murray Valley Highway,TORRUMBARRY,ABC,Apr-2025
Myrtlebank Road,MYRTLEBANK,ABC,May-2025
Napoleon Road,ROWVILLE,ABC,Jan-2025
Nepean Highway,DROMANA,ABC,Sep-2024
Nepean Highway,FRANKSTON SOUTH,ABC,Sep-2024
Nepean Highway,MORNINGTON,ABC,Sep-2024
Nepean Highway,MOUNT ELIZA,ABC,Sep-2024
Newlands Road,COBURG,ABC,Apr-2025
North Road,LANGWARRIN,ABC,Sep-2024
Northern Highway,PYALONG,ABC,Apr-2025
Northern Highway,MYOLA,ABC,Apr-2025
Northumberland Road,PASCOE VALE,ABC,Apr-2025
Oak Street,PARKVILLE,ABC,Apr-2025
O'Donnell Avenue,MYRTLEFORD,ABC,Apr-2025
O'Gradys Road,CARRUM DOWNS,ABC,Sep-2024
Old Melbourne Road,TRARALGON,ABC,T
Olympic Parade,MAIDEN GULLY,ABC,Apr-2025
Omeo Highway,ESKDALE,ABC,Apr-2025
Oxley Flats Road,WANGARATTA,ABC,Apr-2025
Pascoe Vale Road,GLENROY,ABC,Apr-2025
Paynesville Road,BAIRNSDALE,ABC,May-2025
Portarlington-Queenscliff Road,MANNERIM,ABC,Aug-2024
Portland-Nelson Road,MOUNT RICHMOND,ABC,Apr-2025
Princes Freeway,WARRAGUL,ABC,Dec-2024
Princes Highway,BELMONT,ABC,Aug-2024
Princes Highway,PANMURE,ABC,Oct-2024
Princes Highway,TERANG,ABC,Oct-2024
Princes Highway,HALLAM,ABC,Nov-2024
Princes Highway,NAR NAR GOON,ABC,Apr-2025
Quarry Road,LANGWARRIN,ABC,Sep-2024
Rea Street,SHEPPARTON,ABC,May-2025
Roadknight Street,LAKES ENTRANCE,ABC,Nov-2024
Robinsons Road,FRANKSTON,ABC,Sep-2024
Robinsons Road,LANGWARRIN SOUTH,ABC,Sep-2024
Rosedale-Heyfield Road,WINNINDOO,ABC,May-2025
Rosedale-Longford Road,LONGFORD,ABC,May-2025
Sale-Heyfield Road,DENISON,ABC,May-2025
Shell Road,OCEAN GROVE,ABC,Aug-2024
Shell Road,POINT LONSDALE,ABC,Aug-2024
Smithfield Road,KENSINGTON,ABC,Apr-2025
Sneydes Road,POINT COOK,ABC,Jun-2025
South Road,MOORABBIN,ABC,T
Stawell-Avoca Road,STAWELL,ABC,Oct-2024
Strzelecki Highway,DRIFFIELD,ABC,T
Sturt Highway,KARAWINNA,ABC,Apr-2025
Sturt Highway,YARRARA,ABC,Apr-2025
Sunshine Avenue,KEILOR DOWNS,ABC,May-2025
Tarneit Road,HOPPERS CROSSING,ABC,Jan-2025
Taylors Road,CAROLINE SPRINGS,ABC,May-2025
Taylors Road,TAYLORS HILL,ABC,May-2025
Thompsons Road,LYNDHURST,ABC,Nov-2024
Tomahawk Creek Road,PIRRON YALLOCK,ABC,Aug-2024
Traralgon Creek Road,TRARALGON SOUTH,ABC,T
Traralgon-Maffra Road,GLENGARRY,ABC,T
Traralgon-Maffra Road,HEYFIELD,ABC,May-2025
Victoria Cross  Parade,WODONGA,ABC,Apr-2025
Victoria Street,BRUNSWICK,ABC,Apr-2025
Victoria Street,BRUNSWICK WEST,ABC,Apr-2025
Vineyard Road,SUNBURY,ABC,Apr-2025
Wangaratta Road,WANGARATTA,ABC,Apr-2025
Wangaratta-Yarrawonga Road,KILLAWARRA,ABC,Apr-2025
Warburton Highway,WESBURN,ABC,Dec-2024
Warragul-Korumburra Road,WARRAGUL SOUTH,ABC,Dec-2024
Warrandyte Road,RINGWOOD NORTH,ABC,Jul-2024
Were Street,BRIGHTON,ABC,T
Westall Road,CLAYTON,ABC,May-2025
Western Freeway,ROCKBANK,ABC,May-2025
Western Highway,LEIGH CREEK,ABC,Mar-2025
Western Port Highway,SKYE,ABC,Sep-2024
Western Port Highway,LANGWARRIN,ABC,Nov-2024
Willis Street,HAMPTON,ABC,T
Woods Point Road,EAST WARBURTON,ABC,Dec-2024
Woods Point Road,MCMAHONS CREEK,ABC,Dec-2024
Woori Yallock Road,COCKATOO,ABC,Apr-2025
Woori Yallock Road,NANGANA,ABC,Apr-2025
York Street,BALLARAT EAST,ABC,Aug-2024
1,COBRAM,ABCD,Jul-2024
Airport Drive,MELBOURNE AIRPORT,ABCD,T
Aitken Boulevard,CRAIGIEBURN,ABCD,Apr-2025
Albert Road,SOUTH MELBOURNE,ABCD,T
Alfred Street,HEIDELBERG HEIGHTS,ABCD,Dec-2024
Allan Street,KYABRAM,ABCD,Apr-2025
Anderson Road,SUNSHINE,ABCD,May-2025
Andersons Creek Road,DONCASTER EAST,ABCD,May-2025
Anzac Avenue,SEYMOUR,ABCD,T
Anzac Parade,BANDIANA,ABCD,Apr-2025
Ararat Road,STAWELL,ABCD,Apr-2025
Arcadia Avenue,THE BASIN,ABCD,Jul-2024
Ashcroft Avenue,WILLIAMS LANDING,ABCD,Jun-2025
Atherton Road,OAKLEIGH,ABCD,May-2025
Averys Road,EAGLEHAWK,ABCD,Apr-2025
Bacchus Marsh Road,LITTLE RIVER,ABCD,T
Bacchus Marsh Road,CORIO,ABCD,T
Back Porepunkah Road,POREPUNKAH,ABCD,Apr-2025
Ballarat Road,DEER PARK,ABCD,May-2025
Bandiana Link Road,WODONGA,ABCD,Apr-2025
Bank Street,TRARALGON,ABCD,Oct-2024
Banyule Road,VIEWBANK,ABCD,Feb-2025
Baranduda Boulevard,BARANDUDA,ABCD,Apr-2025
Baranduda Boulevard,LENEVA,ABCD,Apr-2025
Barkly Street,ARARAT,ABCD,Apr-2025
Barmah-Shepparton Road,BUNBARTHA,ABCD,May-2025
Barrands Lane,DRYSDALE,ABCD,Aug-2024
Bass Highway,LANG LANG,ABCD,T
Bass Highway,ANDERSON,ABCD,Dec-2024
Bass Highway,DALYSTON,ABCD,Dec-2024
Bass Highway,KILCUNDA,ABCD,Dec-2024
Batesford Road,CHADSTONE,ABCD,T
Beach Road,BLACK ROCK,ABCD,T
Beaconsfield Parade,MIDDLE PARK,ABCD,Feb-2025
Beechworth Road,WODONGA,ABCD,Apr-2025
Beek Street,KATAMATITE,ABCD,Jul-2024
Bell Street,HEIDELBERG WEST,ABCD,Feb-2025
Berkshire Road,SUNSHINE NORTH,ABCD,May-2025
Billson Street,WONTHAGGI,ABCD,Dec-2024
Birchwood Boulevard,HOPPERS CROSSING,ABCD,Jun-2025
Black Dog Drive,BROOKFIELD,ABCD,May-2025
Blackgate Road,CONNEWARRE,ABCD,Aug-2024
Bogong High Plains Road,FALLS CREEK,ABCD,Mar-2025
Bolton Street,ELTHAM,ABCD,Feb-2025
Boundary Road,BRAESIDE,ABCD,T
Bowden Street,CASTLEMAINE,ABCD,May-2025
Bowser Road,NORTH WANGARATTA,ABCD,Aug-2024
Bridle Road,MORWELL,ABCD,T
Broadford-Kilmore Road,KILMORE,ABCD,Aug-2024
Broadhurst Avenue,RESERVOIR,ABCD,Feb-2025
Brooklyn Road,BROOKFIELD,ABCD,May-2025
Bulban Road,WERRIBEE,ABCD,Jun-2025
Bulla Road,ESSENDON NORTH,ABCD,T
Bulla Road,BULLA,ABCD,Apr-2025
Bulla Road,STRATHMORE,ABCD,Apr-2025
Bungower Road,SOMERVILLE,ABCD,Sep-2024
Bungower Road,MOOROODUC,ABCD,Jan-2025
Burton Avenue,KYNETON,ABCD,T
Burwood Highway,WANTIRNA SOUTH,ABCD,T
Burwood Highway,WANTIRNA,ABCD,Mar-2025
Butterworth Street,SWAN HILL,ABCD,Apr-2025
Calder Alternative Highway,LOCKWOOD SOUTH,ABCD,Oct-2024
Calder Freeway,KEILOR NORTH,ABCD,May-2025
Calder Highway,CHARLTON,ABCD,Oct-2024
Calder Highway,WYCHEPROOF,ABCD,Oct-2024
Calder Highway,MARONG,ABCD,Apr-2025
Calder Highway,IRYMPLE,ABCD,Apr-2025
Calder Highway,RED CLIFFS,ABCD,Apr-2025
Calder Highway,YATPOOL,ABCD,Apr-2025
Calder Park Drive,SYDENHAM,ABCD,May-2025
Canterbury Road,MIDDLE PARK,ABCD,Feb-2025
Carlisle Street,WUNGHNU,ABCD,Jul-2024
Carpenter Street,QUARRY HILL,ABCD,Apr-2025
Centenary Avenue,MELTON,ABCD,May-2025
Channel Road,SHEPPARTON,ABCD,May-2025
Childs Road,LALOR,ABCD,Feb-2025
Childs Road,MILL PARK,ABCD,Feb-2025
Chisholm Street,BLACK HILL,ABCD,T
Chum Creek Road,HEALESVILLE,ABCD,Aug-2024
Churchill Avenue,BRAYBROOK,ABCD,Apr-2025
Clyde Road,BERWICK,ABCD,Nov-2024
Cobb And Co Road,CARLSRUHE,ABCD,T
Colac Road,HIGHTON,ABCD,T
Colac-Ballarat Road,CAMBRIAN HILL,ABCD,Aug-2024
Commercial Road,MORWELL,ABCD,Oct-2024
Condon Street,KENNINGTON,ABCD,Apr-2025
Cook Street,PORT MELBOURNE,ABCD,T
Craigieburn Road,WOLLERT,ABCD,T
Creswick Road,BALLARAT CENTRAL,ABCD,T
Creswick-Newstead Road,CAMPBELLTOWN,ABCD,Aug-2024
Crowlands Road,STAWELL,ABCD,Apr-2025
Crusoe Road,KANGAROO FLAT,ABCD,Apr-2025
Cumberland Road,PASCOE VALE,ABCD,Apr-2025
Cuthbert Avenue,TRUGANINA,ABCD,Jun-2025
Cuthberts Road,LUCAS,ABCD,Aug-2024
Da Vinci Drive,SHEPPARTON,ABCD,May-2025
Dalton Road,EPPING,ABCD,T
Dandenong Road,CAULFIELD NORTH,ABCD,T
Dandenong Road,MALVERN,ABCD,T
Dandenong Road,PRAHRAN,ABCD,Mar-2025
Dandenong Road,WINDSOR,ABCD,Mar-2025
Danks Street,MIDDLE PARK,ABCD,Feb-2025
Daylesford-Malmsbury Road,DENVER,ABCD,Mar-2025
Delta Road,GREENSBOROUGH,ABCD,Feb-2025
Derrimut Road,HOPPERS CROSSING,ABCD,Jun-2025
Diggers Rest Coimadai Road,TOOLERN VALE,ABCD,May-2025
Diggers Rest-Coimadai Road,COIMADAI,ABCD,Mar-2025
Dimboola Road,HORSHAM,ABCD,May-2025
Dingley Bypass,DINGLEY VILLAGE,ABCD,T
Dingley Bypass,CLARINDA,ABCD,T
Dohertys Road,ALTONA NORTH,ABCD,T
Dromana Parade,SAFETY BEACH,ABCD,Sep-2024
Duke Street,SUNSHINE,ABCD,May-2025
Dwyer Street,KALKALLO,ABCD,Apr-2025
Dynon Road,WEST MELBOURNE,ABCD,Apr-2025
Earl Street,KEW,ABCD,T
Edgars Road,LALOR,ABCD,Feb-2025
Edwards Road,JACKASS FLAT,ABCD,Apr-2025
Eighth Street,MILDURA,ABCD,Apr-2025
Eleventh Street,MILDURA,ABCD,Apr-2025
Elizabeth Street,NATHALIA,ABCD,Aug-2024
Eltham-Yarra Glen Road,KANGAROO GROUND,ABCD,Feb-2025
Emily Street,SEYMOUR,ABCD,T
Epping Road,WOLLERT,ABCD,Feb-2025
Eramosa Rd East Road,SOMERVILLE,ABCD,Nov-2024
Esplanade,BRIGHTON,ABCD,T
Esplanade,MOUNT MARTHA,ABCD,Jul-2024
Etiwanda Avenue,MILDURA,ABCD,Apr-2025
Exford Road,EXFORD,ABCD,May-2025
Fairbank Road,CLAYTON SOUTH,ABCD,T
Fellmongers Road,BREAKWATER,ABCD,Aug-2024
Ferntree Gully Road,CLAYTON,ABCD,T
Ferntree Gully Road,SCORESBY,ABCD,Mar-2025
Ferntree Gully Road,WHEELERS HILL,ABCD,May-2025
Fifteenth Street,MILDURA,ABCD,Jun-2024
Finch Street,MALVERN EAST,ABCD,Mar-2025
Fischer Street,TORQUAY,ABCD,Aug-2024
Fisken Street,BACCHUS MARSH,ABCD,Mar-2025
Fitzroy Avenue,RED CLIFFS,ABCD,T
Fitzsimons Lane,TEMPLESTOWE,ABCD,May-2025
Flaxman Street,WARRNAMBOOL,ABCD,Nov-2024
Flora Avenue,MILDURA,ABCD,Apr-2025
Fourteenth Street,MILDURA,ABCD,Apr-2025
Frankston-Dandenong Road,FRANKSTON NORTH,ABCD,Jul-2024
Frankston-Dandenong Road,SEAFORD,ABCD,Sep-2024
Frankston-Flinders Road,FRANKSTON SOUTH,ABCD,T
Frankston-Flinders Road,SOMERVILLE,ABCD,Sep-2024
Frankston-Flinders Road,TYABB,ABCD,Sep-2024
Gayview Drive,WODONGA WEST,ABCD,Apr-2025
Geelong Road,BROOKLYN,ABCD,T
Geelong Road,BANNOCKBURN,ABCD,Mar-2025
Gilbert Road,RESERVOIR,ABCD,Feb-2025
Gillies Road,BALD HILLS,ABCD,Aug-2024
Gisborne Road,COIMADAI,ABCD,Mar-2025
Gisborne-Melton Road,KURUNJANG,ABCD,May-2025
Gisbourne Road,DARLEY,ABCD,Mar-2025
Golf Links Road,BARWON HEADS,ABCD,Aug-2024
Gordons Road,SOUTH MORANG,ABCD,Feb-2025
Goulburn Valley Highway,KIALLA WEST,ABCD,T
Goulburn Valley Highway,NUMURKAH,ABCD,Apr-2025
Goulburn Valley Highway,WUNGHNU,ABCD,Apr-2025
Goulburn Valley Highway,SEYMOUR,ABCD,Apr-2025
Goynes Road,EPSOM,ABCD,Apr-2025
Great Alpine Road,POREPUNKAH,ABCD,Apr-2025
Great Ocean  Road,ANGLESEA,ABCD,Aug-2024
Great Ocean Road,PORT CAMPBELL,ABCD,Dec-2024
Green Gully Road,KEILOR DOWNS,ABCD,T
Greensborough Road,GREENSBOROUGH,ABCD,Feb-2025
Greigs Road,STRATHTULLOH,ABCD,May-2025
Grieve Parade,ALTONA NORTH,ABCD,T
Guys Hill Road,STRATHFIELDSAYE,ABCD,Apr-2025
Hamilton Highway,BERRYBANK,ABCD,Dec-2024
Hamilton Street,PETERBOROUGH,ABCD,T
Hamilton Street,BROADFORD,ABCD,T
Hampton Street,BRIGHTON,ABCD,T
Hargraves Street,CASTLEMAINE,ABCD,May-2025
Haverbrack Drive,MULGRAVE,ABCD,May-2025
Healesville-Kinglake Road,CHUM CREEK,ABCD,Jul-2024
Heaths Road,HOPPERS CROSSING,ABCD,Jun-2025
Heidelberg-Kinglake Road,COTTLES BRIDGE,ABCD,Feb-2025
Henty Highway,HAVEN,ABCD,May-2025
Henty Street,RESERVOIR,ABCD,Feb-2025
Heyers Road,GROVEDALE,ABCD,Aug-2024
High Street,LEARMONTH,ABCD,T
High Street,KANGAROO FLAT,ABCD,T
High Street,BROADFORD,ABCD,Aug-2024
High Street,WEDDERBURN,ABCD,Oct-2024
High Street,WINDSOR,ABCD,Mar-2025
High Street,SEYMOUR,ABCD,Apr-2025
High Street,ARARAT,ABCD,May-2025
High Street Road,GLEN WAVERLEY,ABCD,T
Highett Road,HIGHETT,ABCD,T
Hillcrest Avenue,KEW EAST,ABCD,May-2025
Holdsworth Road,NORTH BENDIGO,ABCD,Apr-2025
Holdsworth Road,WHITE HILLS,ABCD,Apr-2025
Hopetoun Road,DROUIN,ABCD,Sep-2024
Hopkins Road,TRUGANINA,ABCD,May-2025
Horace Street,SEA LAKE,ABCD,Nov-2024
Hotham Road,SORRENTO,ABCD,Sep-2024
Hotham Street,RIPPONLEA,ABCD,Feb-2025
Hume Freeway,BARNAWARTHA NORTH,ABCD,Apr-2025
Hume Freeway,WODONGA,ABCD,Apr-2025
Humffray Street N,BROWN HILL,ABCD,T
Huntingdale Road,OAKLEIGH SOUTH,ABCD,May-2025
Inglis Street,BALLAN,ABCD,Mar-2025
Inkerman Street,MARYBOROUGH,ABCD,May-2025
Jacaranda Street,RED CLIFFS,ABCD,Jun-2025
John Field Drive,NEWBOROUGH,ABCD,Sep-2024
Kangaroo Ground-St Andrews Road,PANTON HILL,ABCD,Feb-2025
Karook Street,COBRAM,ABCD,Apr-2025
Keilor Park Drive,KEILOR PARK,ABCD,May-2025
Kennedy Street,CASTLEMAINE,ABCD,May-2025
Kialla Lakes Drive,KIALLA,ABCD,May-2025
Kiewa East Road,KIEWA,ABCD,Apr-2025
Kiewa Valley  Highway,TAWONGA,ABCD,Mar-2025
Kiewa Valley  Highway,KERGUNYAH,ABCD,Apr-2025
Kiewa Valley  Highway,DEDERANG,ABCD,Apr-2025
Kiewa Valley Highway,BANDIANA,ABCD,Nov-2024
Kiewa Valley Highway,TAWONGA,ABCD,Mar-2025
Kiewa Valley Highway,TAWONGA SOUTH,ABCD,Mar-2025
Kiewa Valley Highway,BARANDUDA,ABCD,Apr-2025
Kiewa Valley Highway,MOUNT BEAUTY,ABCD,Apr-2025
Kilmore - Lancefield Road,KILMORE,ABCD,T
King Street,TEMPLESTOWE,ABCD,Feb-2025
Kinglake Drive,WYNDHAM VALE,ABCD,Jan-2025
Kings Road,DELAHEY,ABCD,May-2025
Kings Road,KINGS PARK,ABCD,May-2025
Kings Road,TAYLORS LAKES,ABCD,May-2025
Kings Way,MELBOURNE,ABCD,T
Kingsbury Drive,BUNDOORA,ABCD,T
Korumburra Road,WONTHAGGI,ABCD,Dec-2024
Kurrak Road,YARRAMBAT,ABCD,Feb-2025
Labuan Road,NUMURKAH,ABCD,Apr-2025
Lakeside Drive,MELBOURNE,ABCD,T
Lakeside Drive,ST KILDA,ABCD,T
Lambert Street,ARARAT,ABCD,Apr-2025
Latrobe Road,MORWELL,ABCD,Oct-2024
LaTrobe Street,REDAN,ABCD,Aug-2024
Lincoln Causeway,GATEWAY ISLAND,ABCD,Aug-2024
Lithgow Street,BEVERIDGE,ABCD,T
Lloyd Street,MOE,ABCD,T
Lockharts Gap Road,CHARLEROI,ABCD,Apr-2025
Lower Heidelberg Road,IVANHOE EAST,ABCD,T
Maffra-Sale Road,MAFFRA,ABCD,May-2025
Maiden Gully Road,MAIDEN GULLY,ABCD,Apr-2025
Main Road,CAMPBELLS CREEK,ABCD,T
Main Road,LOWER PLENTY,ABCD,Feb-2025
Main Road East,ST ALBANS,ABCD,May-2025
Main Road West,ST ALBANS,ABCD,May-2025
Main South Road,DROUIN,ABCD,Sep-2024
Main Street,STRATHMERTON,ABCD,Jul-2024
Main Street,BLACKBURN,ABCD,May-2025
Mallee,MURRAYVILLE,ABCD,Feb-2025
Mansfield Whitfield Road,MANSFIELD,ABCD,Oct-2024
Marong Road,IRONBARK,ABCD,T
Maroondah Highway,COLDSTREAM,ABCD,Jul-2024
Mary Street,HEYFIELD,ABCD,May-2025
Maryborough-Dunolly Road,HAVELOCK,ABCD,May-2025
Marysville Buxton Road,MARYSVILLE,ABCD,Oct-2024
Mason Street,NEWPORT,ABCD,Jun-2025
Mason Street,ALTONA NORTH,ABCD,Jun-2025
Mccormicks Road,SANDHURST,ABCD,T
McIntosh Road,ALTONA NORTH,ABCD,Jun-2025
McIntyre Road,SUNSHINE NORTH,ABCD,May-2025
Mclennan Street,MOOROOPNA,ABCD,T
Mcpherson Street,HORSHAM,ABCD,May-2025
Melaluka Road,LEOPOLD,ABCD,Aug-2024
Melba Highway,DIXONS CREEK,ABCD,Jul-2024
Melbourne Road,NORTH GEELONG,ABCD,T
Melbourne Road,RYE,ABCD,Sep-2024
Melrose Drive,TULLAMARINE,ABCD,T
Melrose Drive,WODONGA,ABCD,Apr-2025
